MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21307258,700000.0,85755,-110.951345,32.452002,1.08,8378,1999,3,3,3360.0,2.0,4,67.0,0,1,0,1,208.33333333333331,233333.3333333333,1.0,0,32.452002-110.951345
21607001,580000.0,85715,-110.857029,32.258279,0.77,6204,1964,3,3,3065.0,2.0,0,44.0,0,1,0,1,189.23327895595432,193333.3333333333,1.0,0,32.258279-110.857029
21315349,1600000.0,85755,-111.002814,32.47197,1.28,21011,2008,4,6,7876.0,4.0,2,153.0,1,0,0,1,203.14880650076185,400000.0,1.5,0,32.47197-111.002814
21520040,700000.0,85715,-110.85973,32.255842,1.0,4520,1968,4,4,3859.0,4.0,1,48.0,0,1,0,1,181.3941435605079,175000.0,1.0,0,32.255842-110.85973
21226223,775000.0,85749,-110.707305,32.248694,3.8,6481,1977,5,5,4915.0,3.0,1,18.0,1,0,0,1,157.68056968463887,155000.0,1.0,0,32.248694-110.707305
21510048,560000.0,85749,-110.732112,32.262237,1.37,4093,1993,4,4,3734.0,2.0,1,0.0,0,1,0,1,149.97321906802355,140000.0,1.0,0,32.262237-110.732112
21817534,620000.0,85718,-110.928779,32.309877,1.45,7868,1976,6,4,4880.0,1.0,3,20.0,0,1,0,1,127.04918032786884,103333.33333333331,0.6666666666666666,0,32.309877-110.928779
21729041,910000.0,85718,-110.902875,32.320785,1.03,9730,1994,5,6,5418.0,3.0,1,270.0,0,1,1,0,167.95865633074936,182000.0,1.2,0,32.320785-110.902875
21817323,620000.0,85704,-110.995684,32.330267,0.79,6804,2008,4,3,2960.0,3.0,2,0.0,1,0,1,0,209.45945945945945,155000.0,0.75,0,32.330267-110.995684
21400133,1314000.0,85718,-110.948444,32.348027,1.48,13901,2005,5,5,4854.0,4.0,3,171.0,1,0,0,1,270.70457354758963,262800.0,1.0,1,32.348027-110.948444
21221499,1189550.0,85658,-111.100125,32.469548,0.29,845,2010,3,4,2990.0,3.0,2,550.0,1,0,0,1,397.8428093645485,396516.6666666667,1.3333333333333333,1,32.469548-111.100125
21214916,649000.0,85755,-111.020383,32.434134,3.31,9059,2008,6,5,7983.0,6.0,1,0.0,1,0,0,1,81.29775773518728,108166.66666666669,0.8333333333333334,0,32.434134-111.020383
21500709,675000.0,85750,-110.850117,32.282272,1.66,4955,1998,4,3,3043.0,2.0,3,100.0,1,0,0,1,221.82057180414063,168750.0,0.75,1,32.282272-110.850117
21730194,615000.0,85658,-111.054774,32.41704,0.0,6030,2008,3,3,2492.0,2.0,1,44.0,0,1,0,1,246.7897271268058,205000.0,1.0,1,32.41704-111.054774
21131886,530000.0,85718,-110.944388,32.307065,1.38,4440,1972,4,3,3252.0,2.0,2,7.0,0,1,0,1,162.97662976629766,132500.0,0.75,0,32.307065-110.944388
21422923,694325.0,85718,-110.95775,32.34449,5.2,6174,1973,4,3,3458.0,0.0,1,5.0,0,1,0,1,200.788027761712,173581.25,0.75,0,32.34449-110.95775
21524821,530000.0,85710,-110.853965,32.234437,0.45,2633,1953,4,3,2792.0,2.0,2,0.0,0,1,0,1,189.8280802292264,132500.0,0.75,0,32.234437-110.853965
21821297,590000.0,85718,-110.888758,32.32049,1.04,4368,1970,4,2,2851.0,2.0,1,21.0,0,1,0,1,206.94493160294635,147500.0,0.5,0,32.32049-110.888758
21333778,890000.0,85718,-110.947392,32.338081,1.67,10238,2007,4,4,3552.0,3.0,1,115.0,0,1,0,1,250.56306306306303,222500.0,1.0,1,32.338081-110.947392
21510085,975000.0,85704,-110.961791,32.370787,2.95,3309,2014,4,3,3200.0,3.0,2,0.0,0,1,0,1,304.6875,243750.0,0.75,1,32.370787-110.961791
21207060,802500.0,85755,-110.991883,32.463918,1.53,11193,2002,3,4,3478.0,3.0,3,130.0,0,1,0,1,230.7360552041403,267500.0,1.3333333333333333,1,32.463918-110.991883
21427809,575000.0,85658,-111.094204,32.461525,0.69,7623,2007,3,3,3052.0,2.0,1,83.0,0,1,0,1,188.4010484927916,191666.66666666663,1.0,0,32.461525-111.094204
21216518,490000.0,85749,-110.751877,32.26624,3.65,3588,1971,5,4,3209.0,2.0,3,0.0,0,1,0,1,152.69554378311,98000.0,0.8,0,32.26624-110.751877
21532763,600000.0,85737,-110.968209,32.407183,0.41,6848,2007,4,3,3420.0,3.0,2,50.0,0,1,0,1,175.43859649122808,150000.0,0.75,0,32.407183-110.968209
21203917,620000.0,85730,-110.754561,32.170926,3.38,5777,2006,4,3,3863.0,3.0,2,0.0,0,1,0,1,160.4970230390888,155000.0,0.75,0,32.170926-110.754561
21515456,585000.0,85742,-111.06653,32.391554,3.31,7178,2008,5,4,3975.0,3.0,1,0.0,1,0,0,1,147.16981132075472,117000.0,0.8,0,32.391554-111.06653
21828060,600000.0,85745,-111.034293,32.202751,0.3,4822,2000,4,3,2600.0,2.0,2,25.0,0,1,0,1,230.7692307692308,150000.0,0.75,1,32.202751-111.034293
21608792,899000.0,85718,-110.931923,32.345455,0.65,8566,2005,5,4,4043.0,3.0,2,100.0,1,0,0,1,222.35963393519663,179800.0,0.8,1,32.345455-110.931923
21519005,725000.0,85718,-110.938424,32.346404,0.81,6401,1990,4,5,3642.0,3.0,1,100.0,1,0,0,1,199.06644700713892,181250.0,1.25,0,32.346404-110.938424
21204198,580000.0,85712,-110.895012,32.253627,0.57,5295,1983,4,5,3562.0,3.0,2,0.0,0,1,0,1,162.82987085906794,145000.0,1.25,0,32.253627-110.895012
21912658,595000.0,85749,-110.753931,32.253934,0.83,5792,2014,4,4,2893.0,3.0,1,0.0,0,1,1,0,205.66885585896992,148750.0,1.0,0,32.253934-110.753931
21704402,757000.0,85750,-110.837826,32.324675,0.41,11677,1988,4,3,4186.0,3.0,2,135.0,1,0,0,1,180.8408982322026,189250.0,0.75,0,32.324675-110.837826
21704404,600000.0,85716,-110.92468,32.222501,0.96,5102,1954,4,3,3774.0,3.0,1,0.0,0,1,0,1,158.9825119236884,150000.0,0.75,0,32.222501-110.92468
21518935,680000.0,85718,-110.909507,32.332343,0.71,4447,1969,4,4,3287.0,2.0,1,6.0,1,0,0,1,206.8755704289626,170000.0,1.0,0,32.332343-110.909507
21816529,1325000.0,85715,-110.85333,32.254389,0.79,10290,2008,4,5,4542.0,4.0,2,57.33,0,1,0,1,291.72170849845884,331250.0,1.25,1,32.254389-110.85333
